molecule,prec,MPI,OMP,Nuclear,Coulomb dens,Coulomb pot,XC dens,XC pot,XCFun,Total Fock
alkane_002,4,01,01,2.18683e+00,2.47407e+00,1.44885e+01,2.08447e+00,2.17243e-01,6.95334e+00,2.85553e+01
alkane_002,4,01,02,1.08133e+00,1.28589e+00,7.37785e+00,1.08008e+00,1.29757e-01,3.50193e+00,1.45486e+01
alkane_002,4,01,04,5.40863e-01,6.90991e-01,3.82783e+00,6.25606e-01,9.52540e-02,1.76347e+00,7.60741e+00
alkane_002,4,01,08,2.74191e-01,3.80945e-01,2.08804e+00,3.31809e-01,5.33605e-02,8.91113e-01,4.06594e+00
alkane_002,4,01,16,1.40542e-01,2.22044e-01,1.29673e+00,1.80669e-01,3.83001e-02,4.53879e-01,2.37112e+00
alkane_002,4,01,32,7.67618e-02,1.52946e-01,8.72963e-01,1.27412e-01,3.41021e-02,2.27163e-01,1.52587e+00
alkane_002,4,02,01,2.15747e+00,1.48605e+00,1.45495e+01,1.22341e+00,2.61522e-01,7.00316e+00,2.68488e+01
alkane_002,4,02,02,1.08642e+00,7.95286e-01,7.47027e+00,1.32829e+00,1.48384e-01,3.56593e+00,1.44961e+01
alkane_002,4,02,04,5.40165e-01,4.27338e-01,3.78761e+00,3.41076e-01,8.74633e-02,1.76055e+00,7.01098e+00
alkane_002,4,02,08,2.92706e-01,2.52019e-01,2.04740e+00,1.98580e-01,5.78048e-02,9.40629e-01,3.83977e+00
alkane_002,4,02,16,1.41324e-01,1.65325e-01,1.26397e+00,1.29586e-01,4.63546e-02,4.57863e-01,2.24805e+00
alkane_002,4,02,32,8.57733e-02,1.17767e-01,8.79727e-01,8.69915e-02,4.24336e-02,2.30363e-01,1.48105e+00
alkane_002,4,04,01,2.14564e+00,1.05879e+00,1.44692e+01,8.11300e-01,2.61468e-01,7.05947e+00,2.59818e+01
alkane_002,4,04,02,1.08488e+00,5.76733e-01,7.47064e+00,4.36854e-01,1.47510e-01,3.49679e+00,1.33205e+01
alkane_002,4,04,04,5.44537e-01,3.53448e-01,3.91524e+00,2.53119e-01,9.25310e-02,1.78100e+00,7.01147e+00
alkane_002,4,04,08,2.77375e-01,2.25855e-01,2.12553e+00,1.43946e-01,6.09930e-02,8.95225e-01,3.78162e+00
alkane_002,4,04,16,1.41282e-01,1.76145e-01,1.28429e+00,1.12638e-01,4.80478e-02,4.51401e-01,2.25887e+00
alkane_002,4,04,32,7.62149e-02,1.22223e-01,8.85484e-01,1.05154e-01,3.97872e-02,2.30417e-01,1.49977e+00
alkane_002,4,08,01,2.16360e+00,1.11453e+00,1.48778e+01,6.92055e-01,2.70384e-01,6.96891e+00,2.62716e+01
alkane_002,4,08,02,1.10153e+00,6.64832e-01,7.71990e+00,4.04488e-01,1.52094e-01,3.54061e+00,1.36983e+01
alkane_002,4,08,04,5.40136e-01,4.23560e-01,3.91021e+00,2.51240e-01,9.15730e-02,1.77040e+00,7.06133e+00
alkane_002,4,08,08,2.73261e-01,3.14774e-01,2.21423e+00,1.72067e-01,5.88259e-02,8.87490e-01,3.97387e+00
alkane_002,4,08,16,1.41041e-01,2.67400e-01,1.29679e+00,1.41951e-01,4.53582e-02,4.49730e-01,2.38624e+00
alkane_002,4,08,32,7.63468e-02,2.89704e-01,9.01932e-01,1.99010e-01,4.07904e-02,2.29525e-01,1.77997e+00
alkane_002,5,01,01,6.75698e+00,7.90481e+00,4.33379e+01,6.84322e+00,5.14538e-01,1.43729e+01,8.00337e+01
alkane_002,5,01,02,3.23687e+00,3.28510e+00,1.98303e+01,2.92770e+00,2.64676e-01,7.11720e+00,3.68374e+01
alkane_002,5,01,04,1.62009e+00,1.70593e+00,9.94930e+00,1.54602e+00,1.43439e-01,3.58653e+00,1.86636e+01
alkane_002,5,01,08,8.69968e-01,9.32261e-01,5.65737e+00,7.95973e-01,8.72381e-02,1.80911e+00,1.02310e+01
alkane_002,5,01,16,4.39250e-01,5.35215e-01,3.30015e+00,4.36217e-01,5.77391e-02,9.07083e-01,5.73837e+00
alkane_002,5,01,32,2.25067e-01,3.30337e-01,2.25048e+00,2.78185e-01,4.93515e-02,4.64271e-01,3.65093e+00
alkane_002,5,02,01,6.42540e+00,3.73285e+00,3.78521e+01,3.27408e+00,5.39079e-01,1.42575e+01,6.63936e+01
alkane_002,5,02,02,3.23740e+00,1.95694e+00,1.95725e+01,1.90819e+00,2.87312e-01,7.18266e+00,3.43310e+01
alkane_002,5,02,04,1.65261e+00,1.04607e+00,1.00958e+01,9.72376e-01,1.63431e-01,3.65260e+00,1.77150e+01
alkane_002,5,02,08,8.66005e-01,6.05339e-01,5.30742e+00,4.88633e-01,1.00351e-01,1.81986e+00,9.27256e+00
alkane_002,5,02,16,4.30296e-01,3.73048e-01,3.35688e+00,2.81215e-01,7.33138e-02,9.12585e-01,5.49701e+00
alkane_002,5,02,32,2.37630e-01,5.36410e-01,4.16313e+00,3.89362e-01,7.39934e-02,6.17417e-01,6.09517e+00
alkane_002,5,04,01,6.46963e+00,2.70491e+00,4.24424e+01,2.22955e+00,5.68168e-01,1.48223e+01,6.96079e+01
alkane_002,5,04,02,3.25644e+00,1.52661e+00,2.06315e+01,1.17316e+00,3.07040e-01,7.72660e+00,3.48544e+01
alkane_002,5,04,04,1.62609e+00,9.26993e-01,1.23684e+01,7.04301e-01,2.12538e-01,4.04905e+00,2.00346e+01
alkane_002,5,04,08,8.32258e-01,5.28036e-01,5.86646e+00,4.35709e-01,1.16315e-01,1.86549e+00,9.74734e+00
alkane_002,5,04,16,4.23327e-01,3.77014e-01,4.25432e+00,2.94063e-01,8.46677e-02,9.76708e-01,6.49533e+00
alkane_002,5,04,32,2.34102e-01,3.57633e-01,3.70639e+00,5.86617e-01,7.16382e-02,5.93761e-01,5.62470e+00
alkane_002,5,08,01,6.55162e+00,3.44378e+00,4.42118e+01,1.96764e+00,5.99242e-01,1.55104e+01,7.26900e+01
alkane_002,5,08,02,3.26852e+00,1.58498e+00,2.24207e+01,9.79470e-01,3.24571e-01,7.37204e+00,3.61827e+01
alkane_002,5,08,04,1.63488e+00,9.52384e-01,1.09732e+01,6.17470e-01,1.80888e-01,3.75513e+00,1.82610e+01
alkane_002,5,08,08,8.16462e-01,6.82625e-01,6.19092e+00,3.98855e-01,1.11641e-01,1.87336e+00,1.01768e+01
alkane_002,5,08,16,4.25447e-01,5.74041e-01,4.07914e+00,3.21419e-01,8.89912e-02,9.86151e-01,6.55947e+00
alkane_002,5,08,32,2.34825e-01,6.01344e-01,3.79492e+00,2.93355e-01,7.01138e-02,5.84297e-01,5.65442e+00
alkane_002,6,01,01,1.26284e+01,1.15344e+01,7.49002e+01,1.01069e+01,7.86794e-01,2.25408e+01,1.32967e+02
alkane_002,6,01,02,6.34362e+00,5.81993e+00,3.79699e+01,5.18433e+00,4.01224e-01,1.12460e+01,6.72406e+01
alkane_002,6,01,04,3.17002e+00,3.01672e+00,1.93429e+01,2.71007e+00,2.39925e-01,5.67289e+00,3.43256e+01
alkane_002,6,01,08,1.60074e+00,1.66705e+00,1.04586e+01,1.46233e+00,1.57684e-01,2.87559e+00,1.83483e+01
alkane_002,6,01,16,8.15620e-01,9.22415e-01,6.23414e+00,7.48289e-01,8.09397e-02,1.43358e+00,1.03303e+01
alkane_002,6,01,32,4.25200e-01,5.81452e-01,4.22876e+00,5.01615e-01,7.54010e-02,7.36305e-01,6.63280e+00
alkane_002,6,02,01,1.26977e+01,6.69939e+00,7.53598e+01,5.86049e+00,8.32424e-01,2.25988e+01,1.24542e+02
alkane_002,6,02,02,6.33823e+00,3.51804e+00,3.81679e+01,3.03162e+00,4.44769e-01,1.13829e+01,6.31753e+01
alkane_002,6,02,04,3.17706e+00,1.84680e+00,1.93701e+01,1.54750e+00,2.48927e-01,5.68422e+00,3.20585e+01
alkane_002,6,02,08,1.59490e+00,1.08140e+00,1.05878e+01,9.22073e-01,1.59179e-01,2.88719e+00,1.73734e+01
alkane_002,6,02,16,8.08642e-01,6.48570e-01,6.21159e+00,4.76985e-01,1.05578e-01,1.43926e+00,9.80042e+00
alkane_002,6,02,32,4.59993e-01,7.03934e-01,6.85388e+00,5.72352e-01,1.02036e-01,8.54724e-01,9.65828e+00
alkane_002,6,04,01,1.29363e+01,5.82647e+00,8.27659e+01,4.55643e+00,9.41159e-01,2.54868e+01,1.33083e+02
alkane_002,6,04,02,6.41191e+00,2.63088e+00,4.15221e+01,2.11512e+00,4.52967e-01,1.19555e+01,6.54441e+01
alkane_002,6,04,04,3.19108e+00,1.65023e+00,2.26535e+01,1.26642e+00,2.85247e-01,5.93478e+00,3.52278e+01
alkane_002,6,04,08,1.63262e+00,9.85675e-01,1.23146e+01,7.08468e-01,1.83713e-01,2.97193e+00,1.89709e+01
alkane_002,6,04,16,8.26019e-01,6.73121e-01,7.86723e+00,4.62902e-01,1.14327e-01,1.51118e+00,1.15888e+01
alkane_002,6,04,32,4.99368e-01,7.79777e-01,6.49524e+00,7.38698e-01,1.16146e-01,8.46933e-01,9.61727e+00
alkane_002,6,08,01,1.29046e+01,7.14248e+00,8.26483e+01,3.56550e+00,9.04171e-01,2.27726e+01,1.30535e+02
alkane_002,6,08,02,6.39926e+00,2.92779e+00,4.27057e+01,1.80856e+00,4.68742e-01,1.14699e+01,6.61345e+01
alkane_002,6,08,04,3.57718e+00,1.87814e+00,2.24258e+01,1.07097e+00,2.73297e-01,6.09094e+00,3.55592e+01
alkane_002,6,08,08,1.61559e+00,1.22603e+00,1.17755e+01,6.83842e-01,1.77483e-01,2.98604e+00,1.86387e+01
alkane_002,6,08,16,8.87889e-01,1.06157e+00,7.34328e+00,4.97630e-01,1.16979e-01,1.51140e+00,1.15558e+01
alkane_002,6,08,32,4.62891e-01,8.61775e-01,6.29016e+00,4.53993e-01,1.01064e-01,8.31455e-01,9.12567e+00
alkane_004,4,01,01,5.13445e+00,5.20864e+00,1.97389e+01,4.48648e+00,3.98480e-01,1.19297e+01,4.71557e+01
alkane_004,4,01,02,2.66070e+00,2.79726e+00,1.01076e+01,2.31264e+00,2.15115e-01,6.09986e+00,2.43505e+01
alkane_004,4,01,04,1.28901e+00,1.46335e+00,5.20498e+00,1.23929e+00,1.29303e-01,3.02438e+00,1.24575e+01
alkane_004,4,01,08,6.51980e-01,8.10342e-01,2.94651e+00,6.96387e-01,1.05277e-01,1.52204e+00,6.82263e+00
alkane_004,4,01,16,3.31272e-01,4.91418e-01,1.65623e+00,3.93331e-01,6.55431e-02,7.65394e-01,3.77285e+00
alkane_004,4,01,32,1.74723e-01,3.50159e-01,1.14569e+00,2.61019e-01,5.66331e-02,3.90419e-01,2.44057e+00
alkane_004,4,02,01,5.11861e+00,2.98141e+00,1.96908e+01,2.45990e+00,4.59661e-01,1.20366e+01,4.30154e+01
alkane_004,4,02,02,2.57348e+00,1.92142e+00,1.02645e+01,1.30277e+00,2.66552e-01,6.05485e+00,2.25500e+01
alkane_004,4,02,04,1.28601e+00,8.61442e-01,5.16147e+00,6.83021e-01,1.47527e-01,3.07266e+00,1.13236e+01
alkane_004,4,02,08,6.59780e-01,5.04287e-01,2.74939e+00,3.82654e-01,1.06135e-01,1.51616e+00,6.02107e+00
alkane_004,4,02,16,3.29953e-01,3.37230e-01,1.61900e+00,2.43763e-01,7.75977e-02,7.64056e-01,3.44801e+00
alkane_004,4,02,32,1.74956e-01,2.28133e-01,1.11412e+00,1.66065e-01,6.96450e-02,3.96571e-01,2.22098e+00
alkane_004,4,04,01,5.13997e+00,2.27392e+00,1.99283e+01,1.56675e+00,4.79124e-01,1.20647e+01,4.17380e+01
alkane_004,4,04,02,2.61012e+00,1.08304e+00,1.00719e+01,1.01682e+00,2.57430e-01,6.05656e+00,2.12869e+01
alkane_004,4,04,04,1.29695e+00,6.34087e-01,5.30191e+00,4.61657e-01,1.58802e-01,3.05411e+00,1.10279e+01
alkane_004,4,04,08,6.48270e-01,4.44585e-01,2.89561e+00,3.11645e-01,1.12232e-01,1.55623e+00,6.07424e+00
alkane_004,4,04,16,3.32412e-01,3.33271e-01,1.66183e+00,2.00188e-01,8.07178e-02,7.81553e-01,3.47744e+00
alkane_004,4,04,32,1.74899e-01,2.23668e-01,1.07081e+00,1.39185e-01,6.97166e-02,3.95239e-01,2.14766e+00
alkane_004,4,08,01,5.17112e+00,1.99186e+00,2.00444e+01,1.19298e+00,4.69165e-01,1.21000e+01,4.12869e+01
alkane_004,4,08,02,2.58583e+00,1.17063e+00,1.02117e+01,7.33588e-01,2.61264e-01,6.04374e+00,2.12019e+01
alkane_004,4,08,04,1.29461e+00,7.68282e-01,5.17975e+00,4.22135e-01,1.50902e-01,3.04231e+00,1.09847e+01
alkane_004,4,08,08,6.50892e-01,5.66812e-01,2.77125e+00,3.01251e-01,1.04076e-01,1.53247e+00,6.02375e+00
alkane_004,4,08,16,3.32189e-01,4.70367e-01,1.65244e+00,2.22795e-01,7.75446e-02,7.72603e-01,3.60817e+00
alkane_004,4,08,32,1.74298e-01,4.08095e-01,1.11072e+00,2.00582e-01,7.10217e-02,3.97004e-01,2.44119e+00
alkane_004,4,16,01,5.24385e+00,3.36943e+00,2.02308e+01,2.20126e+00,4.71159e-01,1.21758e+01,4.40107e+01
alkane_004,4,16,02,2.60009e+00,1.88757e+00,1.02800e+01,8.24610e-01,2.64006e-01,6.07167e+00,2.21236e+01
alkane_004,4,16,04,1.28480e+00,1.33805e+00,5.23234e+00,5.51489e-01,1.52032e-01,3.04284e+00,1.17290e+01
alkane_004,4,16,08,6.67916e-01,1.07643e+00,2.79262e+00,5.35626e-01,1.05384e-01,1.53514e+00,6.81132e+00
alkane_004,4,16,16,3.31470e-01,9.03694e-01,1.66714e+00,3.82934e-01,7.96555e-02,7.71430e-01,4.21824e+00
alkane_004,4,16,32,1.74145e-01,8.18479e-01,1.13940e+00,3.45828e-01,7.30262e-02,4.13194e-01,3.04414e+00
alkane_004,5,01,01,1.46530e+01,1.42935e+01,5.21555e+01,1.25502e+01,8.18859e-01,2.39114e+01,1.18900e+02
alkane_004,5,01,02,7.32482e+00,7.33902e+00,2.67264e+01,6.42489e+00,4.33800e-01,1.19344e+01,6.04967e+01
alkane_004,5,01,04,3.65036e+00,3.82956e+00,1.35638e+01,3.32601e+00,2.34581e-01,6.00724e+00,3.08047e+01
alkane_004,5,01,08,1.92119e+00,2.15056e+00,7.55651e+00,1.85723e+00,1.63918e-01,3.02033e+00,1.68140e+01
alkane_004,5,01,16,9.28983e-01,1.22307e+00,4.20812e+00,9.77648e-01,1.03585e-01,1.51297e+00,9.06600e+00
alkane_004,5,01,32,4.90176e-01,8.51257e-01,2.74734e+00,6.07940e-01,7.53943e-02,7.70887e-01,5.64196e+00
alkane_004,5,02,01,1.45746e+01,8.12619e+00,5.22609e+01,6.90998e+00,8.83423e-01,2.38812e+01,1.07155e+02
alkane_004,5,02,02,7.51307e+00,4.26195e+00,2.64471e+01,3.59716e+00,4.95220e-01,1.19588e+01,5.45940e+01
alkane_004,5,02,04,3.70759e+00,2.21900e+00,1.35062e+01,1.84197e+00,2.80029e-01,6.02987e+00,2.77903e+01
alkane_004,5,02,08,1.85952e+00,1.25070e+00,7.12797e+00,9.84293e-01,1.57755e-01,3.01533e+00,1.45347e+01
alkane_004,5,02,16,9.36232e-01,7.94176e-01,4.20918e+00,5.84799e-01,1.07566e-01,1.51493e+00,8.25481e+00
alkane_004,5,02,32,5.02190e-01,1.10274e+00,5.26969e+00,7.95900e-01,1.10857e-01,9.32985e-01,8.84590e+00
alkane_004,5,04,01,1.49156e+01,6.82783e+00,7.21993e+01,6.11364e+00,1.35522e+00,2.83700e+01,1.30547e+02
alkane_004,5,04,02,7.35525e+00,3.14153e+00,3.18944e+01,2.74722e+00,5.67693e-01,1.30943e+01,5.91929e+01
alkane_004,5,04,04,3.70383e+00,1.93447e+00,1.72385e+01,1.59053e+00,3.50148e-01,6.67507e+00,3.17733e+01
alkane_004,5,04,08,1.86137e+00,1.05724e+00,8.37948e+00,8.64690e-01,1.96555e-01,3.15011e+00,1.56841e+01
alkane_004,5,04,16,9.50397e-01,7.52613e-01,5.64695e+00,5.51192e-01,1.40150e-01,1.67637e+00,9.87048e+00
alkane_004,5,04,32,4.95670e-01,7.51845e-01,4.63236e+00,9.89485e-01,1.20813e-01,9.65975e-01,8.09197e+00
alkane_004,5,08,01,1.52001e+01,5.01064e+00,6.17570e+01,3.62353e+00,1.09755e+00,2.62153e+01,1.13632e+02
alkane_004,5,08,02,7.33528e+00,3.13579e+00,3.71097e+01,2.14210e+00,5.86939e-01,1.30845e+01,6.38472e+01
alkane_004,5,08,04,3.71774e+00,1.77093e+00,1.54334e+01,1.08027e+00,3.25943e-01,6.75588e+00,2.93590e+01
alkane_004,5,08,08,1.83893e+00,1.23538e+00,8.81296e+00,7.62427e-01,2.10120e-01,3.46077e+00,1.65221e+01
alkane_004,5,08,16,9.89455e-01,1.30710e+00,5.29645e+00,5.62037e-01,1.37581e-01,1.71944e+00,1.01740e+01
alkane_004,5,08,32,5.25088e-01,9.35705e-01,4.83686e+00,1.06369e+00,1.19527e-01,9.80859e-01,8.60868e+00
alkane_004,5,16,01,1.46655e+01,7.35699e+00,6.31522e+01,3.65759e+00,1.06112e+00,2.77822e+01,1.18395e+02
alkane_004,5,16,02,7.39802e+00,4.73887e+00,3.42725e+01,2.24751e+00,5.88178e-01,1.35172e+01,6.32032e+01
alkane_004,5,16,04,3.68923e+00,2.84432e+00,1.64273e+01,1.32041e+00,3.13639e-01,6.31305e+00,3.11887e+01
alkane_004,5,16,08,1.86683e+00,2.15432e+00,8.85882e+00,9.84733e-01,2.04802e-01,3.20017e+00,1.74708e+01
alkane_004,5,16,16,9.40472e-01,1.77955e+00,5.87418e+00,7.53880e-01,1.31746e-01,1.62719e+00,1.12578e+01
alkane_004,5,16,32,5.21655e-01,1.74415e+00,4.94894e+00,7.38120e-01,1.20437e-01,9.56491e-01,9.17452e+00
alkane_004,6,01,01,2.97541e+01,2.76479e+01,1.14671e+02,2.41999e+01,1.24613e+00,3.66603e+01,2.35004e+02
alkane_004,6,01,02,1.49582e+01,1.42242e+01,5.78109e+01,1.25258e+01,6.03044e-01,1.84411e+01,1.19036e+02
alkane_004,6,01,04,7.51684e+00,7.52817e+00,2.98344e+01,7.05391e+00,3.65815e-01,9.24955e+00,6.18510e+01
alkane_004,6,01,08,3.76456e+00,4.05363e+00,1.55022e+01,3.44514e+00,2.46471e-01,4.77857e+00,3.20144e+01
alkane_004,6,01,16,1.89276e+00,2.24654e+00,9.03593e+00,1.84117e+00,1.49903e-01,2.34797e+00,1.76903e+01
alkane_004,6,01,32,9.89724e-01,1.54787e+00,5.61028e+00,1.13042e+00,1.19294e-01,1.19799e+00,1.07467e+01
alkane_004,6,02,01,2.95384e+01,1.57486e+01,1.13536e+02,1.35118e+01,1.31698e+00,3.68424e+01,2.11319e+02
alkane_004,6,02,02,1.48342e+01,7.93879e+00,5.71538e+01,6.86908e+00,6.81187e-01,1.84766e+01,1.06425e+02
alkane_004,6,02,04,7.43886e+00,4.27469e+00,2.95375e+01,3.59183e+00,3.58563e-01,9.26199e+00,5.47567e+01
alkane_004,6,02,08,3.74556e+00,2.34450e+00,1.52426e+01,1.86229e+00,2.17768e-01,4.64224e+00,2.82651e+01
alkane_004,6,02,16,1.88064e+00,1.43818e+00,8.73980e+00,1.06856e+00,1.39561e-01,2.33480e+00,1.57714e+01
alkane_004,6,02,32,1.01673e+00,1.61196e+00,1.01682e+01,1.37041e+00,1.57714e-01,1.43944e+00,1.59579e+01
alkane_004,6,04,01,3.02933e+01,1.26084e+01,1.35629e+02,1.16288e+01,1.62370e+00,4.21423e+01,2.35093e+02
alkane_004,6,04,02,1.49842e+01,6.33410e+00,6.85365e+01,6.12168e+00,8.65816e-01,1.93351e+01,1.16896e+02
alkane_004,6,04,04,7.52257e+00,3.67610e+00,3.84550e+01,3.06754e+00,4.59832e-01,9.44098e+00,6.29942e+01
alkane_004,6,04,08,3.77451e+00,2.17565e+00,1.93653e+01,1.57601e+00,2.83683e-01,5.10019e+00,3.25821e+01
alkane_004,6,04,16,1.97379e+00,1.52077e+00,1.19890e+01,1.01706e+00,2.10339e-01,2.73758e+00,1.96997e+01
alkane_004,6,04,32,1.00867e+00,1.30085e+00,9.49237e+00,1.40394e+00,1.83822e-01,1.42795e+00,1.50314e+01
alkane_004,6,08,01,3.01414e+01,1.08142e+01,1.23987e+02,7.83036e+00,1.39376e+00,3.74893e+01,2.12639e+02
alkane_004,6,08,02,1.50747e+01,5.90095e+00,6.40798e+01,4.66312e+00,8.38074e-01,2.00948e+01,1.11365e+02
alkane_004,6,08,04,8.02713e+00,3.37401e+00,3.39506e+01,1.91014e+00,4.48760e-01,9.99506e+00,5.81179e+01
alkane_004,6,08,08,3.81204e+00,2.35677e+00,1.83165e+01,1.26443e+00,2.81831e-01,4.96028e+00,3.12972e+01
alkane_004,6,08,16,1.92645e+00,1.95066e+00,1.09052e+01,9.39187e-01,2.02561e-01,2.50482e+00,1.86858e+01
alkane_004,6,08,32,1.00272e+00,1.73421e+00,1.03721e+01,8.27355e-01,1.80836e-01,1.46486e+00,1.58352e+01
alkane_004,6,16,01,3.05154e+01,1.41135e+01,1.23306e+02,6.43576e+00,1.50795e+00,4.12742e+01,2.18099e+02
